,y_pred,y_test
0,34640.33,34500.01
1,34562.45,34551.69
2,34502.1,34643.01
3,34592.996,34574.47
4,34569.074,34500.0
5,34494.113,34404.29
6,34410.715,34242.64
7,34278.348,34273.11
8,34214.24,34290.23
9,34222.64,34255.2
10,34264.164,34255.14
11,34235.348,34209.53
12,34227.504,34255.94
13,34216.234,34347.88
14,34270.598,34307.05
15,34340.54,34171.79
16,34195.797,34143.58
17,34146.137,34080.57
18,34076.977,33998.46
19,34010.582,34061.84
20,34037.21,34099.33
21,34075.133,34067.04
22,34046.426,34052.24
23,34033.254,34068.75
24,34025.117,33918.07
25,33926.375,34037.37
26,33935.23,34196.12
27,34087.637,34222.04
28,34202.426,34217.94
29,34171.34,34194.71
30,34189.344,34063.68
31,34078.883,33907.52
32,33935.055,33882.05
33,33889.89,33898.68
34,33865.31,33894.54
35,33872.6,33870.04
36,33829.418,33939.54
37,33874.273,33744.09
38,33803.504,33746.25
39,33735.457,33826.23
40,33783.066,33959.5
41,33842.17,33949.92
42,33909.277,33799.9
43,33820.203,33852.0
44,33795.1,33927.63
45,33862.777,34090.7
46,33959.895,34131.2
47,34084.914,34141.81
48,34096.543,34065.75
49,34074.504,34078.24
50,34054.254,34049.99
51,34037.207,33958.31
52,33978.902,33890.15
53,33902.777,33911.95
54,33888.746,34076.5
55,33982.164,34235.13
56,34156.78,34265.6
57,34210.836,34289.57
58,34269.33,34303.5
59,34262.84,34278.42
60,34266.406,34236.34
61,34224.445,34350.0
62,34281.875,34376.76
63,34343.113,34419.78
64,34392.195,34380.19
65,34364.742,34350.0
66,34342.895,34332.65
67,34324.004,34375.76
68,34360.348,34362.62
69,34353.76,34300.0
70,34286.188,34326.43
71,34305.723,34365.25
72,34306.816,34392.06
73,34367.902,34346.57
74,34370.605,34360.7
75,34338.594,34298.71
76,34295.082,34365.64
77,34323.0,34381.34
78,34353.676,34321.47
79,34303.3,34325.08
80,34282.184,34327.73
81,34294.594,34373.89
82,34318.79,34381.43
83,34352.734,34179.61
84,34220.594,34039.87
85,34070.984,34060.68
86,34033.117,34112.51
87,34064.684,34096.65
88,34052.59,34058.05
89,34034.22,34108.59
90,34043.008,34056.48
91,34031.215,34009.74
92,33996.293,34032.63
93,33965.824,33889.88
94,33911.87,33905.42
95,33839.97,33856.95
96,33825.05,34011.99
97,33902.01,33922.74
98,33943.844,33951.6
99,33909.977,33955.41
100,33916.934,34035.14
101,34002.67,34142.59
102,34085.902,34198.8
103,34145.207,34211.34
104,34172.746,34230.0
105,34218.06,34279.22
106,34239.055,34322.07
107,34259.082,34363.25
108,34317.79,34417.13
109,34375.652,34536.17
110,34460.41,34487.11
111,34510.047,34577.94
112,34507.914,34772.59
113,34671.65,34748.29
114,34729.684,34795.15
115,34744.973,34849.94
116,34775.082,34796.87
117,34787.797,34800.0
118,34765.176,34722.22
119,34733.355,34718.95
120,34692.62,34680.96
121,34657.996,34861.36
122,34743.32,34923.88
123,34870.34,34987.02
124,34932.36,34958.67
125,34934.74,34932.43
126,34907.617,34912.95
127,34891.31,34816.76
128,34813.984,34831.02
129,34834.047,34841.52
130,34799.54,34720.91
131,34750.08,34707.59
132,34674.785,34705.63
133,34693.97,34737.57
134,34691.8,34762.31
135,34718.72,34711.5
136,34709.94,34652.8
137,34618.277,34736.98
138,34669.508,34663.2
139,34640.93,34700.0
140,34653.87,34606.8
141,34619.266,34617.32
142,34594.99,34595.1
143,34577.266,34653.42
144,34600.76,34606.51
145,34585.19,34638.88
146,34601.684,34584.38
147,34582.066,34459.07
148,34481.94,34451.43
149,34436.582,34387.43
150,34352.754,34308.88
151,34313.54,34317.31
152,34288.598,34493.95
153,34400.457,34485.0
154,34455.754,34467.92
155,34439.316,34594.84
156,34497.152,34588.83
157,34518.8,34520.16
158,34510.18,34366.53
159,34429.07,34239.84
160,34301.652,34229.66
161,34217.734,34217.83
162,34227.91,34198.8
163,34184.312,34172.33
164,34165.543,34172.14
165,34147.715,34099.78
166,34084.355,33967.31
167,34004.785,33885.78
168,33874.87,33879.76
169,33902.12,33883.6
170,33883.504,33624.9
171,33722.3,33567.98
172,33554.26,33583.1
173,33576.582,33609.41
174,33587.934,33479.81
175,33567.4,33550.86
176,33457.03,33649.55
177,33598.098,33749.07
178,33698.266,33680.47
179,33687.527,33730.72
180,33671.07,33710.36
181,33682.59,33564.52
182,33606.695,33447.4
183,33477.23,33340.0
184,33363.434,33627.64
185,33454.176,33583.48
186,33576.324,33572.46
187,33565.07,33541.61
188,33468.93,33410.25
189,33423.164,33368.7
190,33366.438,33400.0
191,33349.574,33526.67
192,33457.785,33644.97
193,33549.773,33831.66
194,33714.098,34000.0
195,33924.324,33910.3
196,33938.324,33782.01
197,33804.86,33731.68
198,33735.188,33622.3
199,33636.145,33721.07
200,33623.125,33615.84
201,33672.26,33572.53
202,33565.727,33514.26
